ISSN,Journal Title,OA Model,Currency,Price
1695-4033,Anales de Pediatria,Hybrid,USD,3000
0003-2670,Analytica Chimica Acta,Hybrid,USD,3500
0003-2697,Analytical Biochemistry,Hybrid,USD,3300
2214-1812,Analytical Chemistry Research,Open Access,USD,1500
2213-6657,Analytic Methods in Accident Research,Hybrid,USD,1800
1932-2275,Anesthesiology Clinics,Hybrid,USD,3000
0003-3170,Angiología,Hybrid,USD,3000
0003-3472,Animal Behaviour,Hybrid,USD,2400
0377-8401,Animal Feed Science and Technology,Hybrid,USD,2600
2405-6545,Animal Nutrition,Open Access,USD,0
0378-4320,Animal Reproduction Science,Hybrid,USD,2500
0003-3928,Annales de cardiologie et d'angéiologie,Hybrid,USD,3000
0294-1260,Annales de chirurgie plastique esthétique,Hybrid,USD,3000
0151-9638,Annales de Dermatologie et de Vénéréologie,Hybrid,USD,3000
0294-1449,Annales de l'Institut Henri Poincaré / Analyse non linéaire,Hybrid,USD,700
0003-4266,Annales d'Endocrinologie,Hybrid,EUR,3000
0753-3969,Annales de Paléontologie,Hybrid,USD,3000
0242-6498,Annales de Pathologie,Hybrid,USD,3000
1879-7261,Annales françaises d’oto-rhino-laryngologie et de pathologie cervico-faciale,Hybrid,USD,3000
0003-4487,Annales médico-psychologiques,Hybrid,USD,3000
0003-4509,Annales Pharmaceutiques Françaises,Hybrid,USD,3000
1512-1887,Annals of Agrarian Science,Open Access,USD,0
0570-1783,Annals of Agricultural Sciences,Open Access,USD,0
1081-1206,"Annals of Allergy, Asthma & Immunology",Hybrid,USD,3000
0940-9602,Annals of Anatomy,Hybrid,USD,1800
1092-9134,Annals of Diagnostic Pathology,Hybrid,USD,2500
0196-0644,Annals of Emergency Medicine,Hybrid,USD,3000
1047-2797,Annals of Epidemiology,Hybrid,USD,3000
2214-9996,Annals of Global Health,Hybrid,USD,1200
2049-0801,Annals of Medicine and Surgery,Open Access,USD,850
0306-4549,Annals of Nuclear Energy,Hybrid,USD,2000
1877-0657,Annals of Physical and Rehabilitation Medicine,Hybrid,USD,3000
0003-4916,Annals of Physics,Hybrid,USD,2200
0168-0072,Annals of Pure and Applied Logic,Hybrid,USD,1500
0160-7383,Annals of Tourism Research,Hybrid,USD,1800
0890-5096,Annals of Vascular Surgery,Hybrid,USD,1700
1367-5788,Annual Reviews in Control,Hybrid,USD,3100
2213-3054,Anthropocene,Hybrid,USD,2500
0166-3542,Antiviral Research,Hybrid,USD,2800
1133-0740,Anuario de Psicología Jurídica,Open Access,EUR,0
1870-4654,Anuario Mexicano de Derecho Internacional,Open Access,USD,0
0001-2092,AORN Journal,Hybrid,USD,3000
0976-0016,Apollo Medicine,Hybrid,USD,3000
0195-6663,Appetite,Hybrid,USD,3000
0003-682X,Applied Acoustics,Hybrid,USD,2400
1063-5203,Applied and Computational Harmonic Analysis,Hybrid,USD,1500
0168-1591,Applied Animal Behaviour Science,Hybrid,USD,3100
0926-860X,"Applied Catalysis A, General",Hybrid,USD,2500
0926-3373,Applied Catalysis B: Environmental,Hybrid,USD,3000
0169-1317,Applied Clay Science,Hybrid,USD,2500
2210-8327,Applied Computing and Informatics,Open Access,USD,0
0306-2619,Applied Energy,Hybrid,USD,3550
0003-6870,Applied Ergonomics,Hybrid,USD,3300
0883-2927,Applied Geochemistry,Hybrid,USD,2600
0143-6228,Applied Geography,Hybrid,USD,2500
2352-9407,Applied Materials Today,Hybrid,USD,2100
0307-904X,Applied Mathematical Modelling,Hybrid,USD,1500
0096-3003,Applied Mathematics and Computation,Hybrid,USD,1500
0893-9659,Applied Mathematics Letters,Hybrid,USD,1500
0168-9274,Applied Numerical Mathematics,Hybrid,USD,1300
0897-1897,Applied Nursing Research,Hybrid,USD,2000
0141-1187,Applied Ocean Research,Hybrid,USD,2500
0969-8043,Applied Radiation and Isotopes,Hybrid,USD,2350
1568-4946,Applied Soft Computing Journal,Hybrid,USD,2400
0929-1393,Applied Soil Ecology,Hybrid,USD,2500
0169-4332,Applied Surface Science,Hybrid,USD,2800
1359-4311,Applied Thermal Engineering,Hybrid,USD,3000
1886-6581,Apunts. Medicina de l'Esport,Hybrid,USD,3000
0144-8609,Aquacultural Engineering,Hybrid,USD,3600
0044-8486,Aquaculture,Hybrid,USD,3800
2352-5134,Aquaculture Reports,Open Access,USD,1100
0304-3770,Aquatic Botany,Hybrid,USD,3300
0166-445X,Aquatic Toxicology,Hybrid,USD,3700
2214-4625,Arab Economic and Business Journal,Open Access,USD,0
1878-5352,Arabian Journal of Chemistry,Open Access,USD,0
1687-1979,Arab Journal of Gastroenterology,Hybrid,USD,3000
1319-5166,Arab Journal of Mathematical Sciences,Open Access,USD,0
2090-598X,Arab Journal of Urology,Open Access,USD,0
2352-2267,Archaeological Research in Asia,Hybrid,USD,1100
0929-693X,Archives de pédiatrie,Hybrid,EUR,3000
1775-8785,Archives des Maladies Professionnelles et de l'Environnement,Hybrid,USD,3000
0003-9861,Archives of Biochemistry and Biophysics,Hybrid,USD,3100
1875-2136,Archives of Cardiovascular Diseases,Hybrid,EUR,3000
1644-9665,Archives of Civil and Mechanical Engineering,Hybrid,EUR,3000
0167-4943,Archives of Gerontology and Geriatrics,Hybrid,USD,2500
0188-4409,Archives of Medical Research,Hybrid,USD,2750
0003-9969,Archives of Oral Biology,Hybrid,USD,2500
0003-9993,Archives of Physical Medicine and Rehabilitation,Hybrid,USD,3300
0883-9417,Archives of Psychiatric Nursing,Hybrid,USD,2500
0300-2896,Archivos de Bronconeumologia,Hybrid,USD,3000
1579-2129,Archivos de Bronconeumología (English Edition),Hybrid,USD,3000
1405-9940,Archivos de Cardiología de México,Open Access,USD,0
0365-6691,Archivos de la Sociedad Espanola de Oftalmologia,Hybrid,USD,3000
2173-5794,Archivos de la Sociedad Española de Oftalmología (English Ed),Hybrid,USD,3000
1872-9312,Artery Research,Hybrid,USD,3000
2352-3441,Arthroplasty Today,Open Access,USD,1995
1467-8039,Arthropod Structure and Development,Hybrid,USD,2400
2212-6287,Arthroscopy Techniques,Open Access,USD,900
0749-8063,Arthroscopy: The Journal of Arthroscopic and Related Surgery,Hybrid,USD,2500
0004-3702,Artificial Intelligence,Hybrid,USD,2400
0933-3657,Artificial Intelligence In Medicine,Hybrid,USD,2500
2468-824X,Asian Journal of Anesthesiology,Open Access,USD,0
1818-0876,Asian Journal of Pharmaceutical Sciences,Open Access,USD,0
1876-2018,Asian Journal of Psychiatry,Hybrid,USD,2500
1015-9584,Asian Journal of Surgery,Open Access,USD,0
2214-3882,Asian Journal of Urology,Open Access,USD,0
1976-1317,Asian Nursing Research,Open Access,USD,1000
2221-1691,Asian Pacific Journal of Tropical Biomedicine,Open Access,USD,0
1995-7645,Asian Pacific Journal of Tropical Medicine,Open Access,USD,0
,,,,
2214-6873,"Asia-Pacific Journal of Sports Medicine, Arthroscopy, Rehabilitation and Technology",Open Access,USD,0
1029-3132,Asia Pacific Management Review,Hybrid,USD,0
1075-2935,Assessing Writing,Hybrid,USD,1800
2213-1337,Astronomy and Computing,Hybrid,USD,2200
0927-6505,Astroparticle Physics,Hybrid,USD,2200
0212-6567,Atencion Primaria,Open Access,USD,0
0021-9150,Atherosclerosis,Hybrid,USD,3000
1567-5688,Atherosclerosis (Supplements) (Component),Hybrid,USD,3000
1061-3315,Atlas of the Oral & Maxillofacial Surgery Clinics of North A,Hybrid,USD,3000
0187-6236,Atmósfera,Open Access,USD,0
1352-2310,Atmospheric Environment,Hybrid,USD,1300
1309-1042,Atmospheric Pollution Research,Hybrid,USD,1500
0169-8095,Atmospheric Research,Hybrid,USD,3000
0092-640X,Atomic Data and Nuclear Data Tables,Hybrid,USD,2200
0385-8146,Auris Nasus Larynx,Hybrid,USD,3000
2588-994X,Australasian Emergency Care,Hybrid,USD,1700
1441-3582,Australasian Marketing Journal (AMJ),Hybrid,USD,1100
1036-7314,Australian Critical Care,Hybrid,USD,1700
1568-9972,Autoimmunity Reviews,Hybrid,USD,3800
0005-1098,Automatica,Hybrid,USD,3300
0926-5805,Automation in Construction,Hybrid,USD,2500
1566-0702,Autonomic Neuroscience: Basic and Clinical,Hybrid,USD,2500
2210-5336,Basal Ganglia,Hybrid,USD,1700
1439-1791,Basic and Applied Ecology,Hybrid,USD,3000
0005-2728,BBA - Bioenergetics,Hybrid,USD,4050
0005-2736,BBA - Biomembranes,Hybrid,USD,3400
2214-6474,BBA Clinical,Open Access,USD,750
0304-4165,BBA - General Subjects,Hybrid,USD,4050
1874-9399,BBA - Gene Regulatory Mechanisms,Hybrid,USD,4050
1388-1981,BBA - Molecular and Cell Biology of Lipids,Hybrid,USD,4050
0925-4439,BBA - Molecular Basis of Disease,Hybrid,USD,4050
0167-4889,BBA - Molecular Cell Research,Hybrid,USD,4050
1570-9639,BBA - Proteins and Proteomics,Hybrid,USD,3400
0304-419X,BBA - Reviews on Cancer,Hybrid,USD,3800
0005-7894,Behavior Therapy,Hybrid,USD,3000
0166-4328,Behavioural Brain Research,Hybrid,USD,2750
0376-6357,Behavioural Processes,Hybrid,USD,2200
0005-7967,Behaviour Research and Therapy,Hybrid,USD,3400
2314-8535,Beni-Suef University Journal of Basic and Applied Sciences,Open Access,USD,0
1521-6896,Best Practice & Research Clinical Anaesthesiology,Hybrid,USD,2500
1521-690X,Best Practice & Research Clinical Endocrinology & Metabolism,Hybrid,USD,2500
1521-6918,Best Practice & Research Clinical Gastroenterology,Hybrid,USD,2500
1521-6926,Best Practice & Research Clinical Haematology,Hybrid,USD,2000
1521-6934,Best Practice & Research Clinical Obstetrics & Gynaecology,Hybrid,USD,2500
1521-6942,Best Practice & Research Clinical Rheumatology,Hybrid,USD,2500
2214-5796,Big Data Research,Hybrid,USD,2400
2212-6198,Bioactive Carbohydrates and Dietary Fibre,Hybrid,USD,3000
2452-199X,Bioactive Materials,Open Access,USD,0
1878-8181,Biocatalysis and Agricultural Biotechnology,Hybrid,USD,2200
0006-291X,Biochemical and Biophysical Research Communications,Hybrid,USD,2300
1369-703X,Biochemical Engineering Journal,Hybrid,USD,3300
0006-2952,Biochemical Pharmacology,Hybrid,USD,4050
0305-1978,Biochemical Systematics and Ecology,Hybrid,USD,2600
2405-5808,Biochemistry and Biophysics Reports,Open Access,USD,1600
0300-9084,Biochimie,Hybrid,USD,2400
2214-0085,Biochimie Open,Open Access,EUR,1200
0208-5216,Biocybernetics and Biomedical Engineering,Hybrid,USD,1500
1567-5394,Bioelectrochemistry,Hybrid,USD,2600
0006-3207,Biological Conservation,Hybrid,USD,3400
1049-9644,Biological Control,Hybrid,USD,3000
2212-683X,Biologically Inspired Cognitive Architectures,Hybrid,USD,2400
0006-3223,Biological Psychiatry,Hybrid,USD,3300
2451-9022,Biological Psychiatry: Cognitive Neuroscience and Neuroimaging,Hybrid,USD,3000
0301-0511,Biological Psychology,Hybrid,USD,2900
1045-1056,Biologicals,Hybrid,USD,3000
1083-8791,Biology of Blood and Marrow Transplantation,Hybrid,USD,3450
0961-9534,Biomass and Bioenergy,Hybrid,USD,3500
0142-9612,Biomaterials,Hybrid,USD,3700
0895-3988,Biomedical and Environmental Sciences,Hybrid,USD,0
1746-8094,Biomedical Signal Processing and Control,Hybrid,USD,1500
0753-3322,Biomedicine & Pharmacotherapy,Hybrid,USD,3000
2214-7535,Biomolecular Detection and Quantification,Open Access,USD,1950
0045-2068,Bioorganic Chemistry,Hybrid,USD,2600
0968-0896,Bioorganic & Medicinal Chemistry,Hybrid,USD,2350
0960-894X,Bioorganic & Medicinal Chemistry Letters,Hybrid,USD,2350
0301-4622,Biophysical Chemistry,Hybrid,USD,3300
0006-3495,Biophysical Journal,Hybrid,USD,1800
2405-8866,Bioprinting,Hybrid,USD,1700
0960-8524,Bioresource Technology,Hybrid,USD,3550
0956-5663,Biosensors and Bioelectronics,Hybrid,USD,3500
2405-4518,Biosurface and Biotribology,Open Access,USD,0
0303-2647,BioSystems,Hybrid,USD,1950
1537-5110,Biosystems Engineering,Hybrid,USD,2750
0734-9750,Biotechnology Advances,Hybrid,USD,3950
2215-017X,Biotechnology Reports,Open Access,USD,1600
2352-5738,Biotribology,Hybrid,USD,1000
1079-9796,"Blood Cells, Molecules and Diseases",Hybrid,USD,3300
0268-960X,Blood Reviews,Hybrid,USD,3000
1740-1445,Body Image,Hybrid,USD,1800
0366-3175,Boletín de la Sociedad Española de Cerámica y Vidrio,Open Access,USD,0
1665-1146,Boletín Médico del Hospital Infantil de México,Open Access,USD,0
0041-8633,Boletín Mexicano de Derecho Comparado,Open Access,USD,0
8756-3282,Bone,Hybrid,USD,2500
2352-1872,Bone Reports,Open Access,USD,1500
2214-8450,Borsa Istanbul Review,Open Access,USD,0
1538-4721,Brachytherapy,Hybrid,USD,3300
0278-2626,Brain and Cognition,Hybrid,USD,1950
0387-7604,Brain and Development,Hybrid,USD,3000
0093-934X,Brain and Language,Hybrid,USD,2500
0889-1591,Brain Behavior and Immunity,Hybrid,USD,3000
0006-8993,Brain Research,Hybrid,USD,2350
0361-9230,Brain Research Bulletin,Hybrid,USD,2200
1935-861X,Brain Stimulation,Hybrid,USD,2600
0034-7094,Brazilian Journal of Anesthesiology,Open Access,USD,0
0104-0014,Brazilian Journal of Anesthesiology (English edition),Open Access,USD,0
1413-8670,Brazilian Journal of Infectious Diseases,Open Access,USD,0
1808-8694,Brazilian Journal of Otorhinolaryngology,Open Access,USD,0
0266-4356,British Journal of Oral & Maxillofacial Surgery,Hybrid,USD,3300
2340-9436,BRQ Business Research Quarterly,Open Access,USD,0
0360-1323,Building and Environment,Hybrid,USD,2700
0007-4497,Bulletin des sciences mathématiques,Hybrid,USD,750
1110-0931,"Bulletin of Faculty of Pharmacy, Cairo University",Open Access,USD,0
2213-0586,Burnout Research,Open Access,USD,750
0305-4179,Burns,Hybrid,USD,3000
0007-6813,Business Horizons,Hybrid,USD,1800
0007-9820,Cahiers de la puéricultrice,Hybrid,USD,3000
0007-9960,Cahiers de Nutrition et de Diététique,Hybrid,USD,3000
0364-5916,Calphad,Hybrid,USD,2500
0846-5371,Canadian Association of Radiologists Journal,Hybrid,USD,1700
0828-282X,Canadian Journal of Cardiology,Hybrid,USD,3000
1499-2671,Canadian Journal of Diabetes,Hybrid,USD,3300
0008-4182,Canadian Journal of Ophthalmology/Journal canadien d'ophtalmologie,Hybrid,USD,3000
1535-6108,Cancer Cell,Hybrid,USD,5200
1877-7821,Cancer Epidemiology,Hybrid,USD,2600
2210-7762,Cancer Genetics,Hybrid,USD,3000
0304-3835,Cancer Letters,Hybrid,USD,3400
1278-3218,Cancer / Radiothérapie,Hybrid,USD,3000
2468-2942,Cancer Treatment and Research Communications,Hybrid,USD,650
0305-7372,Cancer Treatment Reviews,Hybrid,USD,3200
0144-8617,Carbohydrate Polymers,Hybrid,USD,3000
0008-6215,Carbohydrate Research,Hybrid,USD,3300
0008-6223,Carbon,Hybrid,USD,3700
1877-9182,Cardiac Electrophysiology Clinics,Hybrid,USD,3000
1889-898X,Cardiocore,Hybrid,USD,3000
0733-8651,Cardiology Clinics,Hybrid,USD,3000
1054-8807,Cardiovascular Pathology,Hybrid,USD,3000
1553-8389,Cardiovascular Revascularization Medicine,Hybrid,USD,2500
2214-9112,Case Reports in Women's Health,Open Access,USD,500
2214-5095,Case Studies in Construction Materials,Open Access,USD,500
2213-2902,Case Studies in Engineering Failure Analysis,Open Access,USD,500
2214-157X,Case Studies in Thermal Engineering,Open Access,USD,550
2213-624X,Case Studies on Transport Policy,Hybrid,USD,1800
1566-7367,Catalysis Communications,Hybrid,USD,2200
0920-5861,Catalysis Today,Hybrid,USD,3300
0341-8162,Catena,Hybrid,USD,2500
0092-8674,Cell,Hybrid,USD,5200
0143-4160,Cell Calcium,Hybrid,USD,3300
2451-9456,Cell Chemical Biology,Hybrid,USD,5200
1931-3128,Cell Host & Microbe,Hybrid,USD,5200
1550-4131,Cell Metabolism,Hybrid,USD,5200
2211-1247,Cell Reports,Open Access,USD,5000
1934-5909,Cell Stem Cell,Hybrid,USD,5200
2405-4712,Cell Systems,Hybrid,USD,5200
2352-345X,Cellular and Molecular Gastroenterology and Hepatology,Open Access,USD,2000
0008-8749,Cellular Immunology,Hybrid,USD,2200
0898-6568,Cellular Signalling,Hybrid,USD,2900
0958-9465,Cement and Concrete Composites,Hybrid,USD,3300
0008-8846,Cement and Concrete Research,Hybrid,USD,3300
0272-8842,Ceramics International,Hybrid,USD,2750
0960-0779,"Chaos, Solitons and Fractals: the interdisciplinary journal of Nonlinear Science, and Nonequilibrium and Complex Phenomena",Hybrid,USD,2200
2405-8300,Chemical Data Collections,Hybrid,USD,500
1385-8947,Chemical Engineering Journal,Hybrid,USD,3850
0255-2701,Chemical Engineering & Processing: Process Intensification,Hybrid,USD,2500
0263-8762,Chemical Engineering Research and Design,Hybrid,USD,3300
0009-2509,Chemical Engineering Science,Hybrid,USD,3500
0009-2541,Chemical Geology,Hybrid,USD,1800
0301-0104,Chemical Physics,Hybrid,USD,3050
0009-2614,Chemical Physics Letters,Hybrid,USD,3050
0009-2797,Chemico-Biological Interactions,Hybrid,USD,2200
0009-2819,Chemie der Erde,Hybrid,USD,1500
0009-3084,Chemistry and Physics of Lipids,Hybrid,USD,3000
0169-7439,Chemometrics and Intelligent Laboratory Systems,Hybrid,USD,2600
0045-6535,Chemosphere,Hybrid,USD,3400
0012-3692,Chest,Hybrid,USD,3300
0145-2134,Child Abuse & Neglect,Hybrid,USD,1950
1056-4993,Child and Adolescent Psychiatric Clinics of North America,Hybrid,USD,3000
0190-7409,Children and Youth Services Review,Hybrid,USD,1400
1043-951X,China Economic Review,Hybrid,USD,1800
1755-3091,China Journal of Accounting Research,Open Access,USD,0
0275-1062,Chinese Astronomy and Astrophysics,Hybrid,USD,2200
1674-6384,Chinese Herbal Medicines,Hybrid,USD,1000
1000-9361,Chinese Journal of Aeronautics,Open Access,USD,0
1872-2040,Chinese Journal of Analytical Chemistry,Hybrid,USD,3000
1872-2067,Chinese Journal of Catalysis,Hybrid,USD,3000
1004-9541,Chinese Journal of Chemical Engineering,Hybrid,USD,3000
1875-5364,Chinese Journal of Natural Medicines,Hybrid,USD,3000
1008-1275,Chinese Journal of Traumatology,Open Access,USD,0
1001-9294,Chinese Medical Sciences Journal,Hybrid,USD,3000
2095-882X,Chronic Diseases and Translational Medicine,Open Access,USD,1500
0870-8312,Ciência & Tecnologia dos Materiais,Hybrid,USD,3000
0007-8506,CIRP Annals - Manufacturing Technology,Hybrid,USD,3100
1755-5817,CIRP Journal of Manufacturing Science and Technology,Hybrid,USD,2400
1134-0096,Cirugía Cardiovascular,Open Access,USD,0
0009-739X,Cirugia Espanola,Hybrid,USD,3000
2173-5077,Cirugía Española (English Edition),Hybrid,USD,3000
0009-7411,Cirugía y Cirujanos,Open Access,USD,0
2444-0507,Cirugía y Cirujanos (English Edition),Open Access,USD,0
0264-2751,Cities,Hybrid,USD,1200
1877-9166,"City, Culture and Society",Hybrid,USD,1100
2212-0963,Climate Risk Management,Open Access,USD,1500
2405-8807,Climate Services,Open Access,USD,1800
0009-8981,Clinica Chimica Acta,Hybrid,USD,3400
0214-9168,Clinica e Investigacion en Arteriosclerosis,Hybrid,EUR,3000
0210-573X,Clinica e Investigacion en Ginecologia y Obstetricia,Hybrid,EUR,1500
0009-9120,Clinical Biochemistry,Hybrid,USD,2400
0268-0033,Clinical Biomechanics,Hybrid,USD,3300
1526-8209,Clinical Breast Cancer,Hybrid,USD,1800
1533-0028,Clinical Colorectal Cancer,Hybrid,USD,1800
2213-3984,Clinical Epidemiology and Global Health,Hybrid,USD,3000
1542-3565,Clinical Gastroenterology and Hepatology,Hybrid,USD,3000
1558-7673,Clinical Genitourinary Cancer,Hybrid,USD,1700
0899-7071,Clinical Imaging,Hybrid,USD,2500
1521-6616,Clinical Immunology,Hybrid,USD,3900
1525-7304,Clinical Lung Cancer,Hybrid,USD,1800
2152-2650,"Clinical Lymphoma, Myeloma and Leukemia",Hybrid,USD,1800
1198-743X,Clinical Microbiology and Infection,Hybrid,USD,3000
0196-4399,Clinical Microbiology Newsletter,Hybrid,USD,2500
0303-8467,Clinical Neurology and Neurosurgery,Hybrid,USD,1700
1388-2457,Clinical Neurophysiology,Hybrid,USD,2500
0261-5614,Clinical Nutrition,Hybrid,USD,2500
2405-4577,Clinical Nutrition ESPEN,Hybrid,USD,2500
2352-9393,Clinical Nutrition Experimental,Open Access,USD,1200
0936-6555,Clinical Oncology,Hybrid,USD,2875
1522-8401,Clinical Pediatric Emergency Medicine,Hybrid,USD,2500
2212-8166,Clinical Plasma Medicine,Hybrid,USD,1700
0272-7358,Clinical Psychology Review,Hybrid,USD,1950
0009-9260,Clinical Radiology,Hybrid,USD,2875
1876-1399,Clinical Simulation in Nursing,Hybrid,USD,1700
0149-2918,Clinical Therapeutics,Hybrid,USD,3100
1130-5274,Clínica y Salud,Open Access,USD,0
2210-7401,Clinics and Research in Hepatology and Gastroenterology,Hybrid,EUR,3000
0272-5231,Clinics in Chest Medicine,Hybrid,USD,3000
0738-081X,Clinics in Dermatology,Hybrid,USD,2500
0749-0690,Clinics in Geriatric Medicine,Hybrid,USD,3000
0272-2712,Clinics in Laboratory Medicine,Hybrid,USD,3000
1089-3261,Clinics in Liver Disease,Hybrid,USD,3000
0095-5108,Clinics in Perinatology,Hybrid,USD,3000
0094-1298,Clinics in Plastic Surgery,Hybrid,USD,3000
0891-8422,Clinics in Podiatric Medicine and Surgery,Hybrid,USD,3000
0278-5919,Clinics in Sports Medicine,Hybrid,USD,3000
0378-3839,Coastal Engineering,Hybrid,USD,3000
0010-0277,Cognition,Hybrid,USD,2300
1077-7229,Cognitive and Behavioral Practice,Hybrid,USD,3000
0885-2014,Cognitive Development,Hybrid,USD,1800
0010-0285,Cognitive Psychology,Hybrid,USD,1800
1389-0417,Cognitive Systems Research,Hybrid,USD,2400
0165-232X,Cold Regions Science and Technology,Hybrid,USD,3000
1322-7696,Collegian,Hybrid,USD,1700
2215-0382,Colloid and Interface Science Communications,Hybrid,USD,1500
0927-7757,Colloids and Surfaces A: Physicochemical and Engineering Aspects,Hybrid,USD,2600
0927-7765,Colloids and Surfaces B: Biointerfaces,Hybrid,USD,3500
2256-2087,Colombian Journal of Anesthesiology,Open Access,USD,0
