"Online
ISSN",Journal Title,,,"APC Amount
(USD $)"
1744-1714,American Business Law Journal,Hybrid,USD,3000
1548-1425,American Ethnologist,Hybrid,USD,3000
1537-2197,American Journal of Botany,Hybrid,USD,1500
1573-2770,American Journal of Community Psychology,Hybrid,USD,3000
1536-7150,American Journal of Economics and Sociology - The,Hybrid,USD,3000
1096-8652,American Journal of Hematology,Hybrid,USD,4100
1520-6300,American Journal of Human Biology,Hybrid,USD,3600
1097-0274,American Journal of Industrial Medicine,Hybrid,USD,3800
1552-4833,American Journal of Medical Genetics Part A,Hybrid,USD,3600
1552-485X,American Journal of Medical Genetics Part B: Neuropsychiatric Genetics,Hybrid,USD,2500
1552-4876,American Journal of Medical Genetics Part C: Seminars in Medical Genetics,Hybrid,USD,2500
1096-8644,American Journal of Physical Anthropology,Hybrid,USD,4200
1540-5907,American Journal of Political Science,Hybrid,USD,3000
1098-2345,American Journal of Primatology,Hybrid,USD,3700
1600-0897,American Journal of Reproductive Immunology,Hybrid,USD,3500
1600-6143,American Journal of Transplantation,Hybrid,USD,4300
1521-0391,American Journal on Addictions - The,Hybrid,USD,3000
1365-2044,Anaesthesia,Hybrid,USD,3000
2153-960X,Analytic Philosophy,Hybrid,USD,2500
1439-0264,Anatomia Histologia Embryologia,Hybrid,USD,2900
1932-8494,Anatomical Record: Advances in Integrative Anatomy and Evolutionary Biology - The,Hybrid,USD,3000
1935-9780,Anatomical Sciences Education,Hybrid,USD,3000
1439-0272,Andrologia,Hybrid,USD,3300
2047-2927,Andrology,Hybrid,USD,3000
1521-3757,Angewandte Chemie,Hybrid,USD,4500
1521-3773,Angewandte Chemie International Edition,Hybrid,USD,4500
1469-1795,Animal Conservation,Hybrid,USD,3000
1365-2052,Animal Genetics,Hybrid,USD,3000
1740-0929,Animal Science Journal,Hybrid,USD,3900
1521-3889,Annalen der Physik,Hybrid,USD,3500
2153-9588,Annals of Anthropological Practice,Hybrid,USD,3000
1744-7348,Annals of Applied Biology,Hybrid,USD,3000
1469-1809,Annals of Human Genetics,Hybrid,USD,2900
1531-8249,Annals of Neurology,Hybrid,USD,3000
1542-474X,Annals of Noninvasive Electrocardiology,Hybrid,USD,2900
1467-8292,Annals of Public and Cooperative Economics,Hybrid,USD,3000
1749-6632,Annals of the New York Academy of Sciences,Hybrid,USD,3500
1548-1492,Anthropology & Education Quarterly,Hybrid,USD,3000
1548-1409,Anthropology and Humanism,Hybrid,USD,3000
1556-3537,Anthropology of Consciousness,Hybrid,USD,3000
1548-1417,Anthropology of Work Review,Hybrid,USD,3000
1467-8322,Anthropology Today,Hybrid,USD,3000
1467-8330,Antipode,Hybrid,USD,3000
1445-2197,ANZ Journal of Surgery,Hybrid,USD,3100
1600-0463,APMIS,Hybrid,USD,3000
1099-0720,Applied Cognitive Psychology,Hybrid,USD,2500
1099-0739,Applied Organometallic Chemistry,Hybrid,USD,2500
1464-0597,Applied Psychology,Hybrid,USD,3000
1758-0854,Applied Psychology: Health and Well-Being,Hybrid,USD,3000
1526-4025,Applied Stochastic Models in Business and Industry,Hybrid,USD,2500
1654-109X,Applied Vegetation Science,Hybrid,USD,3800
1365-2095,Aquaculture Nutrition,Hybrid,USD,3500
1365-2109,Aquaculture Research,Hybrid,USD,3500
1099-0755,Aquatic Conservation: Marine and Freshwater Ecosystems,Hybrid,USD,3700
1600-0471,Arabian Archaeology and Epigraphy,Hybrid,USD,2500
1099-0763,Archaeological Prospection,Hybrid,USD,2500
1834-4453,Archaeology in Oceania,Hybrid,USD,2500
1475-4754,Archaeometry,Hybrid,USD,3000
1551-8248,Archeological Papers of the American Anthropological Association,Hybrid,USD,3000
1521-4184,Archiv der Pharmazie,Hybrid,USD,3000
1520-6327,Archives of Insect Biochemistry and Physiology,Hybrid,USD,2500
1475-4762,Area,Hybrid,USD,3000
2326-5205,Arthritis & Rheumatology,Hybrid,USD,4500
2151-4658,Arthritis Care & Research,Hybrid,USD,4400
1525-1594,Artificial Organs,Hybrid,USD,3400
1744-7941,Asia Pacific Journal of Human Resources,Hybrid,USD,2500
1467-8373,Asia Pacific Viewpoint,Hybrid,USD,2500
1467-8381,Asian Economic Journal,Hybrid,USD,3000
1748-3131,Asian Economic Policy Review,Hybrid,USD,3000
1934-6093,Asian Journal of Control,Hybrid,USD,2500
1758-5910,Asian Journal of Endoscopic Surgery,Hybrid,USD,2500
1522-2357,Asian Journal of Organic Chemistry,Hybrid,USD,3000
1467-839X,Asian Journal of Social Psychology,Hybrid,USD,2500
1943-0787,Asian Politics & Policy,Hybrid,USD,3000
1753-1411,Asian Social Work and Policy Review,Hybrid,USD,2500
1467-8411,Asian-Pacific Economic Literature,Hybrid,USD,2500
1932-2143,Asia-Pacific Journal of Chemical Engineering,Hybrid,USD,3000
1743-7563,Asia-Pacific Journal of Clinical Oncology,Hybrid,USD,3200
2041-6156,Asia-Pacific Journal of Financial Studies,Hybrid,USD,2500
1758-5872,Asia-Pacific Psychiatry,Hybrid,USD,2700
1521-3994,Astronomische Nachrichten - Astronomical Notes,Hybrid,USD,2500
1442-9993,Austral Ecology,Hybrid,USD,3100
2052-1758,Austral Entomology,Hybrid,USD,2500
1440-0960,Australasian Journal of Dermatology,Hybrid,USD,2900
2205-0140,Australasian Journal of Ultrasound in Medicine,Hybrid,USD,2500
1741-6612,Australasian Journal on Ageing,Hybrid,USD,2700
1467-842X,Australia and New Zealand Journal of Statistics,Hybrid,USD,2700
1835-2561,Australian Accounting Review,Hybrid,USD,2500
1467-8438,Australian and New Zealand Journal of Family Therapy,Hybrid,USD,2500
1479-828X,Australian and New Zealand Journal of Obstetrics and Gynaecology - The,Hybrid,USD,3300
1834-7819,Australian Dental Journal,Hybrid,USD,2500
1467-8446,Australian Economic History Review,Hybrid,USD,2500
1467-8454,Australian Economic Papers,Hybrid,USD,2500
1467-8462,Australian Economic Review - The,Hybrid,USD,2500
1747-4477,Australian Endodontic Journal,Hybrid,USD,2500
1467-8489,Australian Journal of Agricultural and Resource Economics - The,Hybrid,USD,2500
1757-6547,Australian Journal of Anthropology - The,Hybrid,USD,2600
1755-0238,Australian Journal of Grape and Wine Research,Hybrid,USD,3000
1742-9536,Australian Journal of Psychology,Hybrid,USD,2500
1467-8500,Australian Journal of Public Administration,Hybrid,USD,2500
1440-1584,Australian Journal of Rural Health,Hybrid,USD,2900
1839-4655,Australian Journal of Social Issues,Hybrid,USD,3000
1440-1630,Australian Occupational Therapy Journal,Hybrid,USD,3000
1742-9544,Australian Psychologist,Hybrid,USD,2500
1751-0813,Australian Veterinary Journal,Hybrid,USD,3100
1939-3806,Autism Research,Hybrid,USD,4100
1742-7843,Basic & Clinical Pharmacology & Toxicology,Hybrid,USD,3000
1365-2117,Basin Research,Hybrid,USD,3600
1099-078X,Behavioral Interventions,Hybrid,USD,2500
1099-0798,Behavioral Sciences & the Law,Hybrid,USD,2500
1522-2365,Berichte zur Wissenschaftsgeschichte,Hybrid,USD,3000
1539-3429,Biochemistry and Molecular Biology Education,Hybrid,USD,3000
1521-186X,Bioelectromagnetics,Hybrid,USD,3000
1521-1878,BioEssays,Hybrid,USD,3500
1467-8519,Bioethics,Hybrid,USD,3700
1872-8081,BioFactors,Hybrid,USD,3000
1932-1031,"Biofuels, Bioproducts and Biorefining",Hybrid,USD,4400
1469-185X,Biological Reviews,Hybrid,USD,3000
1768-322X,Biology of the Cell,Hybrid,USD,3000
1099-0801,Biomedical Chromatography,Hybrid,USD,3300
1521-4036,Biometrical Journal,Hybrid,USD,3600
1541-0420,Biometrics,Hybrid,USD,3000
1099-081X,Biopharmaceutics & Drug Disposition,Hybrid,USD,3300
1097-0282,Biopolymers,Hybrid,USD,3300
1470-8744,Biotechnology and Applied Biochemistry,Hybrid,USD,3000
1097-0290,Biotechnology and Bioengineering,Hybrid,USD,4200
1860-7314,Biotechnology Journal,Hybrid,USD,3500
1520-6033,Biotechnology Progress,Hybrid,USD,3500
1744-7429,Biotropica,Hybrid,USD,3000
1399-5618,Bipolar Disorders,Hybrid,USD,3700
1523-536X,Birth,Hybrid,USD,2500
1542-0760,Birth Defects Research Part A: Clinical and Molecular Teratology,Hybrid,USD,3000
1542-9741,Birth Defects Research Part B: Developmental and Reproductive Toxicology,Hybrid,USD,3000
1542-9768,Birth Defects Research Part C: Embryo Today: Reviews,Hybrid,USD,3000
1471-0528,BJOG An International Journal of Obstetrics and Gynaecology,Hybrid,USD,3700
1464-410X,BJU International,Hybrid,USD,3000
1502-3885,Boreas,Hybrid,USD,2500
1750-3639,Brain Pathology,Hybrid,USD,3000
1524-4741,Breast Journal - The,Hybrid,USD,3300
1469-3518,British Educational Research Journal,Hybrid,USD,3000
1365-2125,British Journal of Clinical Pharmacology,Hybrid,USD,4000
2044-8260,British Journal of Clinical Psychology,Hybrid,USD,2500
1365-2133,British Journal of Dermatology,Hybrid,USD,3500
2044-835X,British Journal of Developmental Psychology,Hybrid,USD,2500
2044-8279,British Journal of Educational Psychology,Hybrid,USD,2500
1467-8535,British Journal of Educational Technology,Hybrid,USD,3000
1365-2141,British Journal of Haematology,Hybrid,USD,3500
2044-8287,British Journal of Health Psychology,Hybrid,USD,2500
1467-8543,British Journal of Industrial Relations,Hybrid,USD,3000
1468-3156,British Journal of Learning Disabilities,Hybrid,USD,2500
1467-8551,British Journal of Management,Hybrid,USD,3000
2044-8317,British Journal of Mathematical and Statistical Psychology,Hybrid,USD,2500
1476-5381,British Journal of Pharmacology,Hybrid,USD,4000
2044-8295,British Journal of Psychology,Hybrid,USD,2500
1752-0118,British Journal of Psychotherapy,Hybrid,USD,3000
2044-8309,British Journal of Social Psychology,Hybrid,USD,2500
1467-8578,British Journal of Special Education,Hybrid,USD,3000
1365-2168,British Journal of Surgery,Hybrid,USD,3600
1467-8586,Bulletin of Economic Research,Hybrid,USD,2500
1470-9856,Bulletin of Latin American Research,Hybrid,USD,2500
2041-5370,Bulletin of the Institute of Classical Studies,Hybrid,USD,3000
1229-5949,Bulletin of the Korean Chemical Society,Hybrid,USD,3000
1469-2120,Bulletin of the London Mathematical Society,Hybrid,USD,3000
1467-8594,Business and Society Review,Hybrid,USD,3000
1467-8608,Business Ethics: A European Review,Hybrid,USD,2500
2572-3170,Business Strategy and Development,Hybrid,USD,2750
1099-0836,Business Strategy and the Environment,Hybrid,USD,3200
1542-4863,CA A Cancer Journal for Clinicians,Hybrid,USD,3000
1541-0064,Canadian Geographer - The,Hybrid,USD,2500
1936-4490,Canadian Journal of Administrative Sciences / Revue Canadienne des Sciences de l'Administration,Hybrid,USD,3000
1744-7976,Canadian Journal of Agricultural Economics/Revue canadienne d'agroeconomie,Hybrid,USD,3000
1939-019X,Canadian Journal of Chemical Engineering - The,Hybrid,USD,3000
1540-5982,Canadian Journal of Economics,Hybrid,USD,3000
1708-945X,Canadian Journal of Statistics - The,Hybrid,USD,2700
1754-7121,Canadian Public Administration / Administration publique du Canada,Hybrid,USD,3000
1755-618X,Canadian Review of Sociology/Revue canadienne de sociologie,Hybrid,USD,3000
1097-0142,Cancer,Hybrid,USD,3500
1934-6638,Cancer Cytopathology,Hybrid,USD,3000
2573-8348,Cancer Reports,Hybrid,USD,3000
1755-5922,Cardiovascular Therapeutics,Hybrid,USD,3300
2161-0045,Career Development Quarterly - The,Hybrid,USD,3000
1522-726X,Catheterization and Cardiovascular Interventions,Hybrid,USD,3800
1099-0844,Cell Biochemistry and Function,Hybrid,USD,2900
1095-8355,Cell Biology International,Hybrid,USD,2700
1365-2184,Cell Proliferation,Hybrid,USD,3300
1462-5822,Cellular Microbiology,Hybrid,USD,4500
1600-0498,Centaurus,Hybrid,USD,2500
1940-6339,Ceramic Engineering and Science Proceedings,Hybrid,USD,3000
1943-3638,Cereal Chemistry,Hybrid,USD,2500
1439-7633,ChemBioChem,Hybrid,USD,3000
2196-9744,ChemBioEng Reviews,Hybrid,USD,3000
1867-3899,ChemCatChem,Hybrid,USD,3000
2196-0216,ChemElectroChem,Hybrid,USD,3000
1747-0285,Chemical Biology & Drug Design,Hybrid,USD,2500
1521-4125,Chemical Engineering & Technology,Hybrid,USD,3000
1528-0691,Chemical Record - The,Hybrid,USD,4200
1521-3862,Chemical Vapor Deposition,Hybrid,USD,3000
1522-2640,Chemie Ingenieur Technik,Hybrid,USD,3000
1521-3765,Chemistry – A European Journal,Hybrid,USD,3800
1861-471X,Chemistry – An Asian Journal,Hybrid,USD,3000
1612-1880,Chemistry & Biodiversity,Hybrid,USD,2500
2365-6549,ChemistrySelect,Hybrid,USD,3000
1860-7187,ChemMedChem,Hybrid,USD,3000
2199-692X,CHEMNANOMAT,Hybrid,USD,3000
2367-0932,ChemPhotoChem,Hybrid,USD,3000
1439-7641,ChemPhysChem,Hybrid,USD,3000
2192-6506,ChemPlusChem,Hybrid,USD,3000
1864-564X,ChemSusChem,Hybrid,USD,3000
1365-2206,Child & Family Social Work,Hybrid,USD,3000
1099-0852,Child Abuse Review,Hybrid,USD,3000
1475-3588,Child and Adolescent Mental Health,Hybrid,USD,3000
1467-8624,Child Development,Hybrid,USD,3300
1750-8606,Child Development Perspectives,Hybrid,USD,3100
1365-2214,"Child: Care, Health and Development",Hybrid,USD,2900
1099-0860,Children & Society,Hybrid,USD,3000
1749-124X,China & World Economy,Hybrid,USD,2500
1614-7065,Chinese Journal of Chemistry,Hybrid,USD,3000
1520-636X,Chirality,Hybrid,USD,2500
1548-744X,City & Society,Hybrid,USD,3000
1096-0031,Cladistics,Hybrid,USD,3700
1863-0669,Clean Soil Air Water,Hybrid,USD,3500
1365-2222,Clinical & Experimental Allergy,Hybrid,USD,4200
1365-2249,Clinical & Experimental Immunology,Hybrid,USD,3000
1442-9071,Clinical & Experimental Ophthalmology,Hybrid,USD,2500
2163-0097,Clinical Advances in Periodontics,Hybrid,USD,3000
1098-2353,Clinical Anatomy,Hybrid,USD,3000
1365-2230,Clinical and Experimental Dermatology,Hybrid,USD,3000
1759-1961,Clinical and Experimental Neuroimmunology,Hybrid,USD,2500
1444-0938,Clinical and Experimental Optometry,Hybrid,USD,2900
1440-1681,Clinical and Experimental Pharmacology and Physiology,Hybrid,USD,3100
1932-8737,Clinical Cardiology,Hybrid,USD,3900
1365-2265,Clinical Endocrinology,Hybrid,USD,4000
1399-0004,Clinical Genetics,Hybrid,USD,3600
1708-8208,Clinical Implant Dentistry and Related Research,Hybrid,USD,3800
1758-8111,Clinical Obesity,Hybrid,USD,2600
1600-0501,Clinical Oral Implants Research,Hybrid,USD,3700
1749-4486,Clinical Otolaryngology,Hybrid,USD,4200
1532-6535,Clinical Pharmacology & Therapeutics ,Hybrid,USD,3000
2160-7648,Clinical Pharmacology in Drug Development,Hybrid,USD,3000
1475-097X,Clinical Physiology and Functional Imaging,Hybrid,USD,3000
1742-9552,Clinical Psychologist,Hybrid,USD,2500
1099-0879,Clinical Psychology & Psychotherapy,Hybrid,USD,3100
1468-2850,Clinical Psychology: Science and Practice,Hybrid,USD,3000
1752-699X,Clinical Respiratory Journal - The,Hybrid,USD,3100
1743-498X,Clinical Teacher - The,Hybrid,USD,2500
1399-0012,Clinical Transplantation,Hybrid,USD,3400
1755-5949,CNS Neuroscience & Therapeutics,Hybrid,USD,4100
1465-1858,Cochrane Library,Hybrid,USD,3000
1551-6709,Cognitive Science,Hybrid,USD,3100
1520-6378,Color Research & Application,Hybrid,USD,3100
1478-4408,Coloration Technology,Hybrid,USD,2500
1463-1318,Colorectal Disease,Hybrid,USD,3000
1097-0312,Communications on Pure and Applied Mathematics,Hybrid,USD,2500
1600-0528,Community Dentistry and Oral Epidemiology,Hybrid,USD,3600
1467-8640,Computational Intelligence,Hybrid,USD,2500
1546-427X,Computer Animation and Virtual Worlds,Hybrid,USD,2500
1099-0542,Computer Applications in Engineering Education,Hybrid,USD,2500
1467-8659,Computer Graphics Forum,Hybrid,USD,3000
1467-8667,Computer-Aided Civil and Infrastructure Engineering,Hybrid,USD,4000
1552-5023,Concepts in Magnetic Resonance Part A: Bridging Education and Research,Hybrid,USD,2500
1552-504X,Concepts in Magnetic Resonance Part B,Hybrid,USD,2500
1532-0634,Concurrency and Computation: Practice and Experience,Hybrid,USD,3300
1741-4520,Congenital Anomalies,Hybrid,USD,2500
1747-0803,Congenital Heart Disease,Hybrid,USD,2700
1523-1739,Conservation Biology,Hybrid,USD,3000
1467-8675,Constellations,Hybrid,USD,2500
2476-1281,Consumer Psychology Review,Hybrid,USD,3000
1600-0536,Contact Dermatitis,Hybrid,USD,3800
1911-3846,Contemporary Accounting Research,Hybrid,USD,3000
1465-7287,Contemporary Economic Policy,Hybrid,USD,3000
1521-3986,Contributions to Plasma Physics,Hybrid,USD,2500
1467-8683,Corporate Governance: An International Review,Hybrid,USD,2500
1535-3966,Corporate Social Responsibility and Environmental Management,Hybrid,USD,2500
2161-007X,Counseling and Values,Hybrid,USD,3000
1746-1405,Counselling and Psychotherapy Research ,Hybrid,USD,3000
1556-6978,Counselor Education and Supervision,Hybrid,USD,3000
1467-8691,Creativity and Innovation Management,Hybrid,USD,2500
1471-2857,Criminal Behaviour and Mental Health,Hybrid,USD,3000
1745-9125,Criminology,Hybrid,USD,3000
1745-9133,Criminology & Public Policy,Hybrid,USD,3000
1467-8705,Critical Quarterly,Hybrid,USD,2500
1939-3881,CrossCurrents,Hybrid,USD,3000
1521-4079,Crystal Research and Technology,Hybrid,USD,3500
2153-9561,"Culture, Agriculture, Food & Environment",Hybrid,USD,3000
2151-6952,Curator,Hybrid,USD,2500
1467-8748,Curtis's Botanical Magazine,Hybrid,USD,3000
1552-4930,Cytometry Part A,Hybrid,USD,3000
1552-4957,Cytometry Part B: Clinical Cytometry,Hybrid,USD,3000
1365-2303,Cytopathology,Hybrid,USD,3300
1949-3592,Cytoskeleton,Hybrid,USD,2900
1540-5915,Decision Sciences,Hybrid,USD,3000
1540-4609,Decision Sciences Journal of Innovative Education,Hybrid,USD,3000
1600-9657,Dental Traumatology,Hybrid,USD,3300
1520-6394,Depression and Anxiety,Hybrid,USD,3700
1529-8019,Dermatologic Therapy,Hybrid,USD,2900
1948-7177,Design Management Journal,Hybrid,USD,3000
1948-7169,Design Management Review,Hybrid,USD,3000
1746-1049,Developing Economies - The,Hybrid,USD,2500
1471-8847,Developing World Bioethics,Hybrid,USD,3200
1467-7660,Development and Change,Hybrid,USD,3100
1467-7679,Development Policy Review,Hybrid,USD,3000
1440-169X,"Development, Growth & Differentiation",Hybrid,USD,3800
1097-0177,Developmental Dynamics,Hybrid,USD,3000
1469-8749,Developmental Medicine & Child Neurology,Hybrid,USD,4200
1932-846X,Developmental Neurobiology,Hybrid,USD,3900
1098-2302,Developmental Psychobiology,Hybrid,USD,3300
1467-7687,Developmental Science,Hybrid,USD,3200
1463-1326,"Diabetes, Obesity and Metabolism",Hybrid,USD,4500
1520-7560,Diabetes/Metabolism Research and Reviews,Hybrid,USD,3300
1464-5491,Diabetic Medicine,Hybrid,USD,4400
1097-0339,Diagnostic Cytopathology,Hybrid,USD,2900
1746-8361,dialectica,Hybrid,USD,3000
1540-6385,Dialog,Hybrid,USD,2500
1756-1221,Die Unterrichtspraxis/Teaching German,Hybrid,USD,3000
1949-3606,Digest of Middle East Studies,Hybrid,USD,3000
1443-1661,Digestive Endoscopy,Hybrid,USD,3000
1467-7717,Disasters,Hybrid,USD,2500
1472-4642,Diversity and Distributions,Hybrid,USD,4200
1465-3362,Drug and Alcohol Review,Hybrid,USD,3400
1098-2299,Drug Development Research,Hybrid,USD,2500
1942-7611,Drug Testing and Analysis,Hybrid,USD,4300
1099-0909,Dyslexia,Hybrid,USD,3000
1751-7893,Early Intervention in Psychiatry,Hybrid,USD,3600
1468-0254,Early Medieval Europe,Hybrid,USD,2500
1096-9837,Earth Surface Processes and Landforms,Hybrid,USD,4200
1096-9845,Earthquake Engineering & Structural Dynamics,Hybrid,USD,3800
1540-8175,Echocardiography,Hybrid,USD,2500
1600-0587,Ecography,Hybrid,USD,2000
1936-0592,Ecohydrology,Hybrid,USD,3600
1939-5582,Ecological Applications,Hybrid,USD,3000
1365-2311,Ecological Entomology,Hybrid,USD,3000
1442-8903,Ecological Management & Restoration,Hybrid,USD,2500
1557-7015,Ecological Monographs,Hybrid,USD,3000
1939-9170,Ecology,Hybrid,USD,3000
1461-0248,Ecology Letters,Hybrid,USD,4300
1600-0633,Ecology of Freshwater Fish,Hybrid,USD,3600
1368-423X,Econometrics Journal - The,Hybrid,USD,3000
1468-0270,Economic Affairs,Hybrid,USD,3000
2330-4847,Economic Anthropology,Hybrid,USD,3000
1468-0289,Economic History Review - The,Hybrid,USD,3000
1465-7295,Economic Inquiry,Hybrid,USD,3000
1468-0297,Economic Journal - The,Hybrid,USD,2500
1468-0300,Economic Notes,Hybrid,USD,3000
1759-3441,Economic Papers: A journal of applied economics and policy,Hybrid,USD,2500
1475-4932,Economic Record,Hybrid,USD,2500
1468-0343,Economics & Politics,Hybrid,USD,2500
1468-0351,Economics of Transition,Hybrid,USD,3000
1758-6623,Ecumenical Review - The,Hybrid,USD,3000
1741-5446,Educational Theory,Hybrid,USD,3000
1520-6416,Electrical Engineering in Japan,Hybrid,USD,2500
1521-4109,Electroanalysis,Hybrid,USD,3000
1520-6440,Electronics and Communications in Japan,Hybrid,USD,2500
1522-2683,ELECTROPHORESIS,Hybrid,USD,3500
1460-2075,EMBO Journal - The,Hybrid,USD,5200
1469-3178,EMBO Reports,Hybrid,USD,5200
1742-6723,Emergency Medicine Australasia,Hybrid,USD,3300
2194-4296,Energy Technology,Hybrid,USD,3000
1618-2863,Engineering in Life Sciences,Hybrid,USD,3500
1932-5312,ENT Today,Hybrid,USD,3000
1570-7458,Entomologia Experimentalis et Applicata,Hybrid,USD,3500
1748-5967,Entomological Research,Hybrid,USD,2500
1479-8298,Entomological Science,Hybrid,USD,2500
1098-2280,Environmental and Molecular Mutagenesis,Hybrid,USD,3000
1462-2920,Environmental Microbiology,Hybrid,USD,3500
1758-2229,Environmental Microbiology Reports,Hybrid,USD,3000
1756-9338,Environmental Policy and Governance,Hybrid,USD,2600
1944-7450,Environmental Progress & Sustainable Energy,Hybrid,USD,3500
1522-7278,Environmental Toxicology,Hybrid,USD,3900
1552-8618,Environmental Toxicology & Chemistry,Hybrid,USD,3000
1099-095X,Environmetrics,Hybrid,USD,3600
1528-1167,Epilepsia,Hybrid,USD,3000
1365-2338,EPPO Bulletin,Hybrid,USD,3000
2042-3292,Equine Veterinary Education,Hybrid,USD,3000
2042-3306,Equine Veterinary Journal,Hybrid,USD,3000
1439-0310,Ethology,Hybrid,USD,3600
1548-1352,Ethos,Hybrid,USD,3000
1746-692X,EuroChoices,Hybrid,USD,3000
1099-0968,European Eating Disorders Review,Hybrid,USD,3700
1468-036X,European Financial Management,Hybrid,USD,2800
1365-2354,European Journal of Cancer Care,Hybrid,USD,4200
1365-2362,European Journal of Clinical Investigation,Hybrid,USD,3000
1600-0579,European Journal of Dental Education,Hybrid,USD,2900
1465-3435,European Journal of Education,Hybrid,USD,2500
1600-0609,European Journal of Haematology,Hybrid,USD,3100
1879-0844,European Journal of Heart Failure,Hybrid,USD,4200
1521-4141,European Journal of Immunology,Hybrid,USD,3500
1099-0682,European Journal of Inorganic Chemistry,Hybrid,USD,3000
1438-9312,European Journal of Lipid Science and Technology,Hybrid,USD,3500
1468-1331,European Journal of Neurology,Hybrid,USD,4100
1460-9568,European Journal of Neuroscience,Hybrid,USD,3000
1600-0722,European Journal of Oral Sciences,Hybrid,USD,3000
1099-0690,European Journal of Organic Chemistry,Hybrid,USD,3000
1532-2149,European Journal of Pain,Hybrid,USD,4000
1099-0984,European Journal of Personality,Hybrid,USD,3000
1468-0378,European Journal of Philosophy,Hybrid,USD,2500
1475-6765,European Journal of Political Research,Hybrid,USD,3000
2047-8852,European Journal of Political Research Political Data Yearbook,Hybrid,USD,3000
1099-0992,European Journal of Social Psychology,Hybrid,USD,2500
1365-2389,European Journal of Soil Science,Hybrid,USD,3700
1468-0386,European Law Journal,Hybrid,USD,2500
1740-4762,European Management Review,Hybrid,USD,3000
1558-5646,Evolution ,Hybrid,USD,3000
1525-142X,Evolution & Development,Hybrid,USD,3100
1520-6505,"Evolutionary Anthropology: Issues, News, and Reviews",Hybrid,USD,3700
1600-0625,Experimental Dermatology,Hybrid,USD,4100
1469-445X,Experimental Physiology,Hybrid,USD,2950
1468-0394,Expert Systems,Hybrid,USD,2500
1552-3934,Family & Consumer Sciences Research Journal,Hybrid,USD,3000
1744-1617,Family Court Review,Hybrid,USD,3000
1545-5300,Family Process,Hybrid,USD,3000
1741-3729,Family Relations,Hybrid,USD,3000
